"","x"
"533","35"
"534","35"
"535","26"
"536","35"
"537","30"
"538","26"
"539","31"
"540","35"
"541","25"
"542","40"
"543","30"
"544","30"
"545","30"
"546","35"
"547","28"
"548","35"
"549","27"
"550","26"
"551","36"
"552","36"
"553","30"
"554","35"
"555","28"
"556","36"
"557","30"
"558","36"
"559","27"
"560","35"
"561","35"
"562","29"
"563","29"
"564","30"
"565","33"
"566","35"
"567","36"
"568","30"
"569","35"
"570","38"
"571","30"
"572","30"
"573","10"
"574","36"
"575","30"
"576","12"
"577","36"
"578","29"
"579","30"
"580","35"
"581","12"
"582","38"
"583","9"
"584","31"
"585","30"
"586","39"
"587","9"
"588","30"
"589","25"
"590","38"
"591","40"
"592","31"
"593","40"
"594","12"
"595","36"
"596","38"
"597","28"
"598","36"
"599","35"
"600","27"
"601","30"
"602","36"
"603","30"
"604","38"
"605","29"
"606","26"
"607","25"
"608","28"
"609","12"
"610","36"
"611","38"
"612","36"
"613","10"
"614","35"
"615","40"
"616","35"
"617","27"
"618","30"
"619","35"
"620","40"
"621","31"
"622","33"
"623","36"
"624","38"
"625","26"
"626","35"
"627","30"
"628","40"
"629","30"
"630","30"
"631","25"
"632","36"
"633","30"
"634","34"
"635","40"
"636","31"
"637","31"
"638","30"
"639","36"
"640","38"
"641","40"
"642","30"
"643","37"
"644","30"
"645","28"
"646","25"
"647","36"
"648","30"
"649","28"
"650","36"
"651","41"
"652","35"
"653","33"
"654","40"
"655","33"
"656","30"
"657","36"
"658","27"
"659","33"
"660","30"
"661","36"
"662","28"
"663","40"
"664","30"
"665","36"
"666","30"
"667","37"
"668","36"
"669","28"
"670","35"
"671","30"
"672","36"
"673","40"
"674","33"
"675","31"
"676","30"
"677","26"
"678","36"
"679","40"
"680","36"
"681","35"
"682","35"
"683","38"
"684","40"
"685","29"
"686","30"
"687","36"
"688","30"
"689","30"
"690","35"
"691","36"
"692","40"
"693","36"
"694","36"
"695","37"
"696","28"
"697","36"
"698","36"
"699","36"
"700","31"
"701","26"
"702","33"
"703","31"
"704","30"
"705","40"
"706","30"
"707","31"
"708","27"
"709","36"
"710","31"
"711","33"
"712","36"
"713","27"
"714","10"
"715","40"
"716","36"
"717","30"
"718","36"
"719","36"
"720","27"
"721","33"
"722","33"
"723","33"
"724","33"
"725","37"
"726","36"
"727","36"
"728","27"
"729","36"
"730","35"
"731","12"
"732","36"
"733","31"
"734","28"
"735","31"
"736","26"
"737","31"
"738","28"
"739","35"
"740","36"
"741","35"
"742","37"
"743","36"
"744","1"
"745","35"
"746","28"
"747","30"
"748","36"
"749","35"
"750","35"
"751","30"
"752","36"
"753","12"
"754","36"
"755","33"
"756","35"
"757","36"
"758","26"
"759","35"
"760","36"
"761","27"
"762","30"
"763","26"
"764","26"
"765","28"
"766","35"
"767","9"
"768","26"
"769","36"
"770","35"
"771","26"
"772","12"
"773","26"
"774","28"
"775","36"
"776","28"
"777","30"
"778","30"
"779","30"
"780","38"
"781","35"
"782","26"
"783","35"
"784","35"
"785","36"
"786","25"
"787","36"
"788","28"
"789","29"
"790","39"
"791","30"
"792","36"
"793","41"
"794","31"
"795","26"
"796","36"
"797","11"
"798","37"
"799","31"
"800","31"
"801","36"
"802","40"
"803","31"
"804","35"
"805","29"
"806","35"
"807","36"
"808","31"
"809","35"
"810","40"
"811","26"
"812","27"
"813","35"
"814","35"
"815","30"
"816","35"
"817","35"
"818","30"
"819","30"
"820","35"
"821","30"
"822","9"
"823","36"
"824","35"
"825","27"
"826","36"
"827","30"
"828","30"
"829","13"
"830","36"
"831","30"
"832","27"
"833","30"
"834","26"
"835","29"
"836","29"
"837","36"
"838","29"
"839","12"
"840","29"
"841","30"
"842","38"
"843","25"
