"","x"
"1",22.590290275449
"2",19.5171019580053
"3",26.5006642972531
"4",26.0755715945886
"5",25.7942579416135
"6",19.0459629737445
"7",23.8132690528498
"8",27.0699842235358
"9",8.07382736846187
"10",6.25921548952649
"11",11.319254463656
"12",18.4602079073633
"13",12.6309728542551
"14",16.9925401871881
"15",18.2997097798427
"16",11.3920544614013
"17",8.90180376630244
"18",17.7259146038613
"19",7.59288918628704
"20",10.9981932399121
"21",10.6033540396444
"22",22.0221737716547
"23",8.34307113991575
"24",3.54489268268837
"25",10.676606197834
"26",14.0159981797265
"27",11.0390873360935
"28",13.9374318649315
"29",8.09320753856344
"30",21.3342679825675
"31",18.3151145422332
"32",8.73875059192688
"33",3.35463467073006
"34",6.48616656248828
"35",15.4834027061989
"36",18.1414064811922
"37",18.2782818062718
"38",9.37916046554515
"39",32.1908068520531
"40",18.4191506353673
"41",13.2027642511354
"42",6.8296347162272
"43",24.8332524546465
"44",9.33123677080397
"45",10.7004332671571
"46",6.39365578522077
"47",11.4645413509815
"48",19.9356620623337
"49",3.3194324197088
"50",22.3642069239694
"51",10.6603362367181
"52",9.38318335082315
"53",7.59228435563304
"54",23.4703875112665
"55",9.91695095431977
"56",14.3424582457431
"57",4.8807409925602
"58",15.6378935395189
"59",22.7720239977818
"60",9.67575451098945
"61",12.8544816449166
"62",15.5051181414626
"63",24.1137847792056
"64",17.262666894191
"65",11.4518892482451
"66",7.02022954759922
"67",25.0992331860336
"68",9.85188295073913
"69",9.34235469682402
"70",11.4071858573775
"71",18.0667569265999
"72",3.31187280522719
"73",12.680241116735
"74",9.28297706432566
"75",15.1497065680565
"76",16.2754057628813
"77",15.6258537230108
"78",12.2551029503847
"79",7.59682471659372
"80",9.17802555761937
"81",7.36463627821995
"82",28.9613329141126
"83",9.48419406604708
"84",12.8831673086629
"85",9.80613360501204
"86",15.7446473274081
"87",17.1635706951236
"88",23.2817262674227
"89",32.2823630434439
"90",5.46535424335529
"91",32.2744339158055
"92",9.5088166473471
"93",7.95374148212324
"94",9.5441114843601
"95",7.54191595056496
"96",9.37677260462628
"97",15.7540127184312
"98",8.32155490696427
"99",6.08530765121235
"100",9.37354881384741
"101",15.3041056117572
"102",0.952790678200715
"103",9.36707855044572
"104",9.93677626321285
"105",11.9542138279966
"106",10.6655455674483
"107",8.02535147570046
"108",17.41214634827
"109",11.314923752416
"110",11.4689756939558
"111",11.2487932078743
"112",13.9291658443848
"113",14.2467672505883
"114",6.67427150685218
"115",22.8872187649324
"116",17.8767749780245
"117",15.6927063023278
"118",12.628018166572
"119",6.13144383408988
"120",13.8937844755704
"121",21.6032052088407
"122",13.8659810103881
"123",17.4034480304929
"124",18.5232761534839
"125",14.1834420466318
"126",7.42779970766517
"127",3.95617197418423
"128",7.64688161441177
"129",7.41943985815205
"130",11.4715814467598
"131",12.5511331591085
"132",18.264521935347
"133",6.58759004494375
"134",21.3739711798726
"135",21.578410204088
"136",32.1252739495205
"137",15.691673260052
"138",13.7845687125469
"139",12.0867928743806
"140",8.21129100833102
"141",16.7385364001908
"142",7.95074574799277
"143",12.2404802566672
"144",7.94739591980543
"145",9.52704805231288
"146",1.91788978516472
"147",11.4592536330255
"148",15.7537722391209
"149",34.7471853178477
"150",41.4240746044257
"151",13.6776165839202
"152",13.5169180780603
"153",12.6524295282467
"154",8.41179073697428
"155",21.3326662377769
"156",13.76950058372
"157",18.9113055708553
"158",9.37696098962578
"159",9.43946539103254
"160",11.5588450017418
"161",8.96246127702072
"162",10.6021256910238
"163",18.1428903010656
"164",17.9741417785777
"165",15.8471587458274
"166",13.1056144414497
"167",19.6005012078941
"168",18.0704208576315
"169",13.1753631736672
"170",11.8703661427362
"171",11.2088266967051
"172",22.6270850436113
"173",18.3687906012811
"174",19.2031704497573
"175",17.8650516875119
"176",11.5246339440024
"177",18.1723025790027
"178",15.7616054299508
"179",15.7038208144288
"180",13.5664046869831
"181",0.953119088704626
"182",18.5024965900824
"183",16.0331484443114
"184",14.4541625503041
"185",18.9929277463758
"186",13.6021679590815
"187",11.7364349261062
"188",15.376077174265
"189",13.8395516977843
"190",15.7471538277938
"191",12.3400780495171
"192",33.2534675331077
"193",6.70002773215313
"194",4.05001673260443
"195",18.0543784661752
"196",18.1915375781184
"197",28.8036230499578
"198",0.817842775391462
"199",8.47060786695843
"200",11.6306303930503
"201",7.04778552489939
"202",1.40810943211169
"203",9.48894557818405
"204",3.20119685447775
"205",18.1344208301902
"206",6.78134361233533
"207",17.6061803337899
"208",6.45522831113228
"209",7.85260588792446
"210",11.689880240203
"211",3.6020522716528
"212",15.714351220546
"213",28.1046191762159
"214",2.09796549196956
"215",18.9570217481559
"216",11.1412741930923
"217",5.47606695984446
"218",7.59187649432858
"219",2.66895460738375
"220",3.98695436853574
"221",9.433080745795
"222",11.2318516339795
"223",0.761139690789348
"224",23.2429386223929
"225",16.919770063642
"226",16.4633840488419
"227",9.79506117297813
"228",14.3983380964973
"229",3.73658354239764
"230",26.4749724090167
"231",13.8980543252131
"232",12.4228628630063
"233",18.900193376664
"234",16.0014909527418
"235",0.877314712315793
"236",7.94781473051215
"237",13.8660687573645
"238",12.18549755786
"239",20.4872901856673
"240",18.0391196936364
"241",12.2643381347731
"242",26.6712326789429
"243",23.4738594987015
"244",6.00959968099894
"245",5.41312344045402
"246",12.9351395778373
"247",3.37285945534067
"248",22.2691068044648
"249",12.6225701972013
"250",6.07982387647534
"251",11.2934825407475
"252",2.71887122934145
"253",8.8381044177866
"254",13.3856515452578
"255",12.9169837115931
