Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,HoxD8,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3
-2.598855758,-11,1.815101273,-0.096168027,-4.038593128,-2.836066678,1.131548743,-0.671963097,-1.636850308,3.423681803,0.394950553,-2.376936278,-4.924172048,-11,-11,-4.061287038,-2.475869298,-11,-4.038424678,-11,-4.259571458,-4.777245278,1.047010243,-3.010446808,-3.488509358,-3.050088818,-0.406746097,-5.128745378,-1.928578878,-7.275551728,-11,-11,-5.003280328,-0.046818947,-2.222564838,-3.470348088,-4.478411258,-3.142280118,-0.414084757,0.144745023,-8.102097538,-2.477317228
-11,-11,-11,-3.913417315,-11,-4.657568065,-1.901248895,-0.974526895,-2.426526505,0.951514135,-0.869843875,-0.625981045,-11,-11,-11,-11,-2.103049675,-11,-11,-11,-11,-11,1.557401215,-1.806324775,-2.731684795,-11,-11,-11,-11,-11,-3.944613275,-11,-3.477989735,-4.612856465,-11,-11,-11,-11,-1.381857205,1.156480555,-5.832248105,-2.793252365
-11,-11,-11,-4.460141888,-11,-3.995104728,-0.298499218,0.988461772,-3.274385318,-2.179871788,0.625494542,-1.174191898,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2.346619523,-0.314449808,-1.507721568,-11,-11,-11,-11,-11,-3.691468128,-11,-5.254561058,-11,-11,-11,-11,-11,-3.849391938,-1.741473098,-5.727293568,-4.207901078
-11,-11,-11,-11,-11,-5.307169465,-3.526605785,-1.689075475,-3.287568705,-11,0.853823615,-1.630560455,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,0.071580685,-4.811756595,-11,-11,-11,-11,0.158175655,-4.407672435,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-6.280626845,-2.131293845
-3.907257698,-11,0.019497022,-0.715845207,-2.546303348,-2.370981998,0.618566833,-1.171904708,-2.268569548,2.889149763,-0.681293108,-1.833798518,-11,-11,-11,-11,-2.298210138,-11,-11,-11,-11,-4.874138128,1.502596423,-3.203611868,-1.176624408,-4.900529498,-1.363303428,-6.302374408,-0.640511827,-11,-11,-11,-4.207031308,-2.338428388,-11,-6.265470248,-4.932180248,-4.086890978,-1.600017368,0.004373813,-6.554154228,-11
-11,-11,-11,-4.559220963,-11,-6.536367563,-3.623691513,-1.759396773,-4.644909603,-3.747449363,0.485819518,-4.639732413,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,0.125087828,-5.541359253,-1.778640593,-11,-11,-11,-1.904798153,-6.046903823,-11,-11,-9.182411493,-11,-11,-4.466130343,-11,-11,-11,-2.788072823,-8.462766203,-11
-3.590741025,-11,-11,-2.745486655,-3.568166725,-5.484120865,-0.182001285,0.429372155,-1.124926505,1.375766415,0.876168895,-1.506039185,-11,-11,-11,-11,-2.349799545,-11,-11,-11,-5.653785365,-4.212304655,1.286169575,-11,-1.532508405,-4.425754775,-11,-11,-0.215751235,-6.089227975,-11,-11,-5.118318825,-11,-4.493209245,-5.380814395,-11,-4.138298805,-1.615437265,0.633576905,-6.532572845,-3.899629025
-11,-4.670877453,-11,-11,-5.307585623,-4.321608813,-1.948052563,-0.155843013,-2.778142293,-3.438702203,0.470113978,-1.372323873,-11,-5.604030773,-11,-11,-3.864068363,-11,-4.424341243,-11,-11,-11,1.175671968,-4.762739353,-1.318647333,-6.733530643,-11,-4.627058533,-0.285097952,-5.113297753,-11,-11,-6.115635963,-6.652027543,-11,-6.686637783,-11,-11,-4.304491493,-0.604229003,-6.135940703,-5.270094893
-1.332321253,-11,3.705748728,0.089039608,-1.741410843,-2.985068963,2.786155238,-2.123167653,-1.419094073,1.197508868,-0.722012843,-2.319758693,-11,-3.140965703,-2.857831853,-2.104972893,-2.121124813,-11,-4.094528163,-11,-5.566204763,-2.173567383,0.865035118,-1.655728083,-4.000019763,-11,0.561786408,-11,-2.243125593,-6.815333603,-3.918266293,-6.368060133,-4.172580203,-0.913051602,-1.108020683,0.478909338,-3.040554533,-11,-1.743884313,-0.190126412,-11,-4.617106053
-3.165222038,-11,1.907606013,0.485880413,-1.408576118,-1.745542218,1.151850463,-0.452081257,-2.955229018,2.925067723,-0.597692607,-2.377391338,-11,-11,-11,-11,-2.800282438,-11,-2.591693908,-11,-5.126437888,-4.108613178,1.875258233,-1.233970768,-2.133275648,-4.280504678,-0.334137977,-5.140202768,-0.733136617,-11,-11,-11,-4.627140408,-1.842952028,-11,-4.085857958,-6.088587378,-2.520233308,-1.226080638,-0.108864977,-7.762380078,-4.607922238
